type;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;pH;sulphates;alcohol;quality
white;6.6;0.62;0.2;8.7;0.046;81;224;3.17;0.44;9.3;5
white;7.6;0.19;0.32;18.75;0.047;32;193;3.1;0.5;9.3;7
white;7.9;0.18;0.49;5.2;0.051;36;157;3.18;0.48;10.6;6
white;6.6;0.4;0.32;1.7;0.035;39;84;3.59;0.48;12.7;7
red;7;0.69;0.07;2.5;0.091;15;21;3.38;0.6;11.3;6
red;8.4;0.665;0.61;2;0.112;13;95;3.16;0.54;9.1;5
white;7.8;0.27;0.28;1.8;0.05;21;127;3.15;0.44;9.9;5
white;7.7;0.29;0.29;4.8;0.06;27;156;3.49;0.59;10.3;6
white;6.7;0.35;0.48;8.8;0.056;35;167;3.04;0.47;9.4;5
white;6.3;0.27;0.23;2.9;0.047;13;100;3.28;0.43;9.8;5
white;6.8;0.21;0.36;18.1;0.046;32;133;3.27;0.48;8.8;5
red;8.3;0.43;0.3;3.4;0.079;7;34;3.36;0.61;10.5;5
red;8.9;0.635;0.37;1.7;0.263;5;62;3;1.09;9.3;5
white;5.6;0.18;0.29;2.3;0.04;5;47;3.07;0.45;10.1;4
white;7.1;0.33;0.3;3.3;0.034;30;102;3.08;0.31;12.3;7
white;6.3;0.17;0.32;1;0.04;39;118;3.31;0.4;13.1;8
white;5.4;0.53;0.16;2.7;0.036;34;128;3.2;0.53;13.2;8
white;7.6;0.15;0.4;1.3;0.036;24;112;3.14;0.76;10;5
white;6.4;0.27;0.45;8.3;0.05;52;196;3.18;0.48;9.5;5
white;6.5;0.26;0.31;3.6;0.03;36;92;3.22;0.62;12.6;8
white;6.9;0.28;0.22;10;0.052;36;131;3.08;0.46;9.6;5
white;7.6;0.39;0.32;3.6;0.035;22;93;3.08;0.6;12.5;7
white;7.5;0.17;0.32;1.7;0.04;51;148;3.21;0.44;11.5;7
white;6.4;0.23;0.27;2.1;0.042;35;100;3.03;0.63;10.9;6
white;6.3;0.23;0.49;7.1;0.05;67;210;3.23;0.34;9.5;5
